id,lang,category_id,category_zh,category_en,kind,text,amount,currency,note,date_spec,dates,anchor_date
food_dining-en-001,en,food_dining,餐饮美食,Food and Dining,expense,"Grabbed buns and soy milk for breakfast this morning, 8 yuan",8,CNY,Breakfast,rel:0,2026-08-31,2026-08-31
food_dining-en-002,en,food_dining,餐饮美食,Food and Dining,expense,"Ordered braised chicken rice takeout for lunch yesterday, 28 bucks",28,CNY,Takeout lunch,rel:-1,2026-08-30,2026-08-31
food_dining-en-003,en,food_dining,餐饮美食,Food and Dining,expense,"Split hot pot with friends, my share was 180 HKD",180,HKD,Group dinner split,anchor,2026-08-31,2026-08-31
food_dining-en-004,en,food_dining,餐饮美食,Food and Dining,expense,"Bought bubble tea this afternoon, 22 yuan",22,CNY,Milk tea,anchor,2026-08-31,2026-08-31
food_dining-en-005,en,food_dining,餐饮美食,Food and Dining,expense,"Iced Americano downstairs every day this week, 30 HKD",30,HKD,Coffee,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
food_dining-en-006,en,food_dining,餐饮美食,Food and Dining,expense,"Dim sum at a cha chaan teng this Saturday, 128 bucks",128,CNY,Dim sum,weekday:6,2026-09-05,2026-08-31
food_dining-en-007,en,food_dining,餐饮美食,Food and Dining,expense,"Extra braised pork at the cafeteria, 12 yuan",12,CNY,Cafeteria extra,anchor,2026-08-31,2026-08-31
food_dining-en-008,en,food_dining,餐饮美食,Food and Dining,expense,"Late-night BBQ and beer, 150 yuan",150,CNY,Late-night snack,anchor,2026-08-31,2026-08-31
food_dining-en-009,en,food_dining,餐饮美食,Food and Dining,expense,"Starbucks latte, 38 HKD",38,HKD,Coffee,anchor,2026-08-31,2026-08-31
food_dining-en-010,en,food_dining,餐饮美食,Food and Dining,expense,"Cafeteria lunch today and tomorrow, 15 yuan each",15,CNY,Cafeteria,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
food_dining-en-011,en,food_dining,餐饮美食,Food and Dining,expense,"Bought a pound of strawberries, 35 bucks",35,CNY,Fruit,anchor,2026-08-31,2026-08-31
food_dining-en-012,en,food_dining,餐饮美食,Food and Dining,expense,"Toast and croissants at the bakery, 42 yuan",42,CNY,Bread,anchor,2026-08-31,2026-08-31
food_dining-en-013,en,food_dining,餐饮美食,Food and Dining,expense,"McDonald's grilled chicken combo, 36 bucks",36,CNY,Fast food,anchor,2026-08-31,2026-08-31
food_dining-en-014,en,food_dining,餐饮美食,Food and Dining,expense,"Salmon don at the sushi place, 78 HKD",78,HKD,Japanese food,anchor,2026-08-31,2026-08-31
food_dining-en-015,en,food_dining,餐饮美食,Food and Dining,expense,"Lemonade at Mixue, 6 yuan",6,CNY,Drinks,anchor,2026-08-31,2026-08-31
food_dining-en-016,en,food_dining,餐饮美食,Food and Dining,expense,"Cooked noodles with fried egg last night, 9 bucks",9,CNY,Home cooking,anchor,2026-08-31,2026-08-31
food_dining-en-017,en,food_dining,餐饮美食,Food and Dining,expense,"Late-night braised chicken rice delivery, 26 yuan",26,CNY,Late-night takeout,anchor,2026-08-31,2026-08-31
food_dining-en-018,en,food_dining,餐饮美食,Food and Dining,expense,"Luckin coconut latte, 19 bucks",19,CNY,Coffee,anchor,2026-08-31,2026-08-31
food_dining-en-019,en,food_dining,餐饮美食,Food and Dining,expense,"Beef noodle with egg today through day after tomorrow, 22 yuan",22,CNY,Noodles,span:0:2,2026-08-31|2026-09-01|2026-09-02,2026-08-31
food_dining-en-020,en,food_dining,餐饮美食,Food and Dining,expense,"Dinner at the dumpling house, 45 bucks",45,CNY,Dumplings,anchor,2026-08-31,2026-08-31
food_dining-en-021,en,food_dining,餐饮美食,Food and Dining,expense,"Afternoon tea: iced lemon tea and pineapple bun, 58 HKD",58,HKD,Afternoon tea,anchor,2026-08-31,2026-08-31
food_dining-en-022,en,food_dining,餐饮美食,Food and Dining,expense,"Two ice cream cones, 16 yuan",16,CNY,Dessert,anchor,2026-08-31,2026-08-31
food_dining-en-023,en,food_dining,餐饮美食,Food and Dining,expense,"Duck snacks from Juewei, 32 bucks",32,CNY,Braised snacks,anchor,2026-08-31,2026-08-31
food_dining-en-024,en,food_dining,餐饮美食,Food and Dining,expense,"Pre-cut fruit box, 28 yuan",28,CNY,Fruit,anchor,2026-08-31,2026-08-31
food_dining-en-025,en,food_dining,餐饮美食,Food and Dining,expense,"Bento box downstairs, 25 bucks",25,CNY,Bento,anchor,2026-08-31,2026-08-31
food_dining-en-026,en,food_dining,餐饮美食,Food and Dining,expense,"Ordered pizza takeout this Wednesday, 68 yuan",68,CNY,Pizza,weekday:3,2026-09-02,2026-08-31
food_dining-en-027,en,food_dining,餐饮美食,Food and Dining,expense,"Late-night skewers delivery, 55 bucks",55,CNY,Late-night snack,anchor,2026-08-31,2026-08-31
food_dining-en-028,en,food_dining,餐饮美食,Food and Dining,expense,"Shrimp dumplings and siu mai at yum cha, 138 yuan",138,CNY,Dim sum,anchor,2026-08-31,2026-08-31
food_dining-en-029,en,food_dining,餐饮美食,Food and Dining,expense,"Japanese set meal with coworkers, 72 bucks",72,CNY,Set meal,anchor,2026-08-31,2026-08-31
food_dining-en-030,en,food_dining,餐饮美食,Food and Dining,expense,"Half-baked cheesecake from Holiland, 49 yuan",49,CNY,Dessert,anchor,2026-08-31,2026-08-31
food_dining-en-031,en,food_dining,餐饮美食,Food and Dining,expense,"KFC family bucket, 99 bucks",99,CNY,Fast food,anchor,2026-08-31,2026-08-31
food_dining-en-032,en,food_dining,餐饮美食,Food and Dining,expense,"Izakaya dinner on Aug 20, 280 HKD",280,HKD,Japanese food,ymd:2026-08-20,2026-08-20,2026-08-31
food_dining-en-033,en,food_dining,餐饮美食,Food and Dining,expense,"Duck-shit fragrance lemon tea, 18 yuan",18,CNY,Drinks,anchor,2026-08-31,2026-08-31
food_dining-en-034,en,food_dining,餐饮美食,Food and Dining,expense,"Rice rolls and congee for breakfast every day last week, 12 bucks",12,CNY,Breakfast,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30,2026-08-31
food_dining-en-035,en,food_dining,餐饮美食,Food and Dining,expense,"Big bowl of Lanzhou noodles, 20 yuan",20,CNY,Noodles,anchor,2026-08-31,2026-08-31
food_dining-en-036,en,food_dining,餐饮美食,Food and Dining,expense,"Lunch at Yang Guofu malatang, 35 bucks",35,CNY,Malatang,anchor,2026-08-31,2026-08-31
food_dining-en-037,en,food_dining,餐饮美食,Food and Dining,expense,"Korean BBQ group dinner, my share 160 yuan",160,CNY,Group dinner,anchor,2026-08-31,2026-08-31
food_dining-en-038,en,food_dining,餐饮美食,Food and Dining,expense,"Half a watermelon in summer, 28 bucks",28,CNY,Fruit,anchor,2026-08-31,2026-08-31
food_dining-en-039,en,food_dining,餐饮美食,Food and Dining,expense,"Oden at the convenience store, 18 yuan",18,CNY,Convenience store,anchor,2026-08-31,2026-08-31
food_dining-en-040,en,food_dining,餐饮美食,Food and Dining,expense,"Oat milk latte at the cafe, 32 bucks",32,CNY,Coffee,anchor,2026-08-31,2026-08-31
food_dining-en-041,en,food_dining,餐饮美食,Food and Dining,expense,"Pork congee and fried dough sticks, 15 yuan",15,CNY,Breakfast,anchor,2026-08-31,2026-08-31
food_dining-en-042,en,food_dining,餐饮美食,Food and Dining,expense,"Burger King Whopper combo, 41 bucks",41,CNY,Fast food,anchor,2026-08-31,2026-08-31
food_dining-en-043,en,food_dining,餐饮美食,Food and Dining,expense,"Tom yum rice at the Thai restaurant, 68 yuan",68,CNY,Thai food,anchor,2026-08-31,2026-08-31
food_dining-en-044,en,food_dining,餐饮美食,Food and Dining,expense,"Double-skin milk and ginger milk pudding, 30 bucks",30,CNY,Dessert,anchor,2026-08-31,2026-08-31
food_dining-en-045,en,food_dining,餐饮美食,Food and Dining,expense,"Ordered a cake roll for afternoon tea, 18 yuan",18,CNY,Afternoon tea,anchor,2026-08-31,2026-08-31
food_dining-en-046,en,food_dining,餐饮美食,Food and Dining,expense,"Spicy crayfish takeout, 188 bucks",188,CNY,Crayfish,anchor,2026-08-31,2026-08-31
food_dining-en-047,en,food_dining,餐饮美食,Food and Dining,expense,"Iced lemon tea, no ice, 24 HKD",24,HKD,Drinks,anchor,2026-08-31,2026-08-31
food_dining-en-048,en,food_dining,餐饮美食,Food and Dining,expense,"Steamed buns at the shop three days ago, 16 yuan",16,CNY,Breakfast,rel:-3,2026-08-28,2026-08-31
food_dining-en-049,en,food_dining,餐饮美食,Food and Dining,expense,"Steak set at the Western restaurant, 268 bucks",268,CNY,Western food,anchor,2026-08-31,2026-08-31
