id,lang,category_id,category_zh,category_en,kind,text,amount,currency,note,date_spec,dates,anchor_date
food_dining-zh-001,zh,food_dining,餐饮美食,Food and Dining,expense,今早买包子豆浆当早餐花了8元,8,CNY,早餐,rel:0,2026-08-31,2026-08-31
food_dining-en-001,en,food_dining,餐饮美食,Food and Dining,expense,"Grabbed buns and soy milk for breakfast this morning, 8 yuan",8,CNY,Breakfast,rel:0,2026-08-31,2026-08-31
food_dining-zh-002,zh,food_dining,餐饮美食,Food and Dining,expense,昨天中午点黄焖鸡米饭外卖花了28块,28,CNY,外卖午餐,rel:-1,2026-08-30,2026-08-31
food_dining-en-002,en,food_dining,餐饮美食,Food and Dining,expense,"Ordered braised chicken rice takeout for lunch yesterday, 28 bucks",28,CNY,Takeout lunch,rel:-1,2026-08-30,2026-08-31
food_dining-zh-003,zh,food_dining,餐饮美食,Food and Dining,expense,晚上和朋友吃火锅AA付了180HKD,180,HKD,聚餐AA,anchor,2026-08-31,2026-08-31
food_dining-en-003,en,food_dining,餐饮美食,Food and Dining,expense,"Split hot pot with friends, my share was 180 HKD",180,HKD,Group dinner split,anchor,2026-08-31,2026-08-31
food_dining-zh-004,zh,food_dining,餐饮美食,Food and Dining,expense,下午摸鱼买了杯珍珠奶茶花了22元,22,CNY,奶茶,anchor,2026-08-31,2026-08-31
food_dining-en-004,en,food_dining,餐饮美食,Food and Dining,expense,"Bought bubble tea this afternoon, 22 yuan",22,CNY,Milk tea,anchor,2026-08-31,2026-08-31
food_dining-zh-005,zh,food_dining,餐饮美食,Food and Dining,expense,这一周每天公司楼下买冰美式花了30HKD,30,HKD,咖啡,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
food_dining-en-005,en,food_dining,餐饮美食,Food and Dining,expense,"Iced Americano downstairs every day this week, 30 HKD",30,HKD,Coffee,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
food_dining-zh-006,zh,food_dining,餐饮美食,Food and Dining,expense,周末去茶餐厅吃早茶花了128块,128,CNY,早茶,weekday:6,2026-09-05,2026-08-31
food_dining-en-006,en,food_dining,餐饮美食,Food and Dining,expense,"Dim sum at a cha chaan teng this Saturday, 128 bucks",128,CNY,Dim sum,weekday:6,2026-09-05,2026-08-31
food_dining-zh-007,zh,food_dining,餐饮美食,Food and Dining,expense,食堂窗口再打一份红烧肉花了12元,12,CNY,食堂加菜,anchor,2026-08-31,2026-08-31
food_dining-en-007,en,food_dining,餐饮美食,Food and Dining,expense,"Extra braised pork at the cafeteria, 12 yuan",12,CNY,Cafeteria extra,anchor,2026-08-31,2026-08-31
food_dining-zh-008,zh,food_dining,餐饮美食,Food and Dining,expense,夜宵吃烧烤喝啤酒花了150块钱,150,CNY,夜宵,anchor,2026-08-31,2026-08-31
food_dining-en-008,en,food_dining,餐饮美食,Food and Dining,expense,"Late-night BBQ and beer, 150 yuan",150,CNY,Late-night snack,anchor,2026-08-31,2026-08-31
food_dining-zh-009,zh,food_dining,餐饮美食,Food and Dining,expense,买了杯星巴克拿铁花了38HKD,38,HKD,咖啡,anchor,2026-08-31,2026-08-31
food_dining-en-009,en,food_dining,餐饮美食,Food and Dining,expense,"Starbucks latte, 38 HKD",38,HKD,Coffee,anchor,2026-08-31,2026-08-31
food_dining-zh-010,zh,food_dining,餐饮美食,Food and Dining,expense,今天明天食堂午饭都刷15元,15,CNY,食堂,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
food_dining-en-010,en,food_dining,餐饮美食,Food and Dining,expense,"Cafeteria lunch today and tomorrow, 15 yuan each",15,CNY,Cafeteria,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
food_dining-zh-011,zh,food_dining,餐饮美食,Food and Dining,expense,水果店买了一斤草莓花了35块,35,CNY,水果,anchor,2026-08-31,2026-08-31
food_dining-en-011,en,food_dining,餐饮美食,Food and Dining,expense,"Bought a pound of strawberries, 35 bucks",35,CNY,Fruit,anchor,2026-08-31,2026-08-31
food_dining-zh-012,zh,food_dining,餐饮美食,Food and Dining,expense,面包店买吐司和可颂花了42元,42,CNY,面包,anchor,2026-08-31,2026-08-31
food_dining-en-012,en,food_dining,餐饮美食,Food and Dining,expense,"Toast and croissants at the bakery, 42 yuan",42,CNY,Bread,anchor,2026-08-31,2026-08-31
