id,lang,category_id,category_zh,category_en,kind,text,amount,currency,note,date_spec,dates,anchor_date
food_dining-zh-001,zh,food_dining,餐饮美食,Food and Dining,expense,今早买包子豆浆当早餐花了8元,8,CNY,早餐,rel:0,2026-08-31,2026-08-31
food_dining-zh-002,zh,food_dining,餐饮美食,Food and Dining,expense,昨天中午点黄焖鸡米饭外卖花了28块,28,CNY,外卖午餐,rel:-1,2026-08-30,2026-08-31
food_dining-zh-003,zh,food_dining,餐饮美食,Food and Dining,expense,晚上和朋友吃火锅AA付了180HKD,180,HKD,聚餐AA,anchor,2026-08-31,2026-08-31
food_dining-zh-004,zh,food_dining,餐饮美食,Food and Dining,expense,下午摸鱼买了杯珍珠奶茶花了22元,22,CNY,奶茶,anchor,2026-08-31,2026-08-31
food_dining-zh-005,zh,food_dining,餐饮美食,Food and Dining,expense,这一周每天公司楼下买冰美式花了30HKD,30,HKD,咖啡,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
food_dining-zh-006,zh,food_dining,餐饮美食,Food and Dining,expense,周末去茶餐厅吃早茶花了128块,128,CNY,早茶,weekday:6,2026-09-05,2026-08-31
food_dining-zh-007,zh,food_dining,餐饮美食,Food and Dining,expense,食堂窗口再打一份红烧肉花了12元,12,CNY,食堂加菜,anchor,2026-08-31,2026-08-31
food_dining-zh-008,zh,food_dining,餐饮美食,Food and Dining,expense,夜宵吃烧烤喝啤酒花了150块钱,150,CNY,夜宵,anchor,2026-08-31,2026-08-31
food_dining-zh-009,zh,food_dining,餐饮美食,Food and Dining,expense,买了杯星巴克拿铁花了38HKD,38,HKD,咖啡,anchor,2026-08-31,2026-08-31
food_dining-zh-010,zh,food_dining,餐饮美食,Food and Dining,expense,今天明天食堂午饭都刷15元,15,CNY,食堂,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
food_dining-zh-011,zh,food_dining,餐饮美食,Food and Dining,expense,水果店买了一斤草莓花了35块,35,CNY,水果,anchor,2026-08-31,2026-08-31
food_dining-zh-012,zh,food_dining,餐饮美食,Food and Dining,expense,面包店买吐司和可颂花了42元,42,CNY,面包,anchor,2026-08-31,2026-08-31
food_dining-zh-013,zh,food_dining,餐饮美食,Food and Dining,expense,麦当劳吃板烧鸡腿堡套餐花了36块,36,CNY,快餐,anchor,2026-08-31,2026-08-31
food_dining-zh-014,zh,food_dining,餐饮美食,Food and Dining,expense,寿司店吃三文鱼刺身饭花了78HKD,78,HKD,日料,anchor,2026-08-31,2026-08-31
food_dining-zh-015,zh,food_dining,餐饮美食,Food and Dining,expense,蜜雪冰城买柠檬水花了6元,6,CNY,饮品,anchor,2026-08-31,2026-08-31
food_dining-zh-016,zh,food_dining,餐饮美食,Food and Dining,expense,昨晚自己煮面加煎蛋花了9块,9,CNY,自己做饭,anchor,2026-08-31,2026-08-31
food_dining-zh-017,zh,food_dining,餐饮美食,Food and Dining,expense,深夜点了份黄焖鸡米饭花了26元,26,CNY,夜宵外卖,anchor,2026-08-31,2026-08-31
food_dining-zh-018,zh,food_dining,餐饮美食,Food and Dining,expense,瑞幸买生椰拿铁花了19块,19,CNY,咖啡,anchor,2026-08-31,2026-08-31
food_dining-zh-019,zh,food_dining,餐饮美食,Food and Dining,expense,今天到后天兰州拉面馆牛肉面加蛋都花22元,22,CNY,面食,span:0:2,2026-08-31|2026-09-01|2026-09-02,2026-08-31
food_dining-zh-020,zh,food_dining,餐饮美食,Food and Dining,expense,东北饺子馆吃晚餐花了45块,45,CNY,饺子,anchor,2026-08-31,2026-08-31
food_dining-zh-021,zh,food_dining,餐饮美食,Food and Dining,expense,港式茶餐厅下午茶冻柠茶加菠萝油花了58HKD,58,HKD,下午茶,anchor,2026-08-31,2026-08-31
food_dining-zh-022,zh,food_dining,餐饮美食,Food and Dining,expense,冰淇淋店买两个甜筒花了16元,16,CNY,甜品,anchor,2026-08-31,2026-08-31
food_dining-zh-023,zh,food_dining,餐饮美食,Food and Dining,expense,绝味鸭脖买鸭货花了32块,32,CNY,卤味,anchor,2026-08-31,2026-08-31
food_dining-zh-024,zh,food_dining,餐饮美食,Food and Dining,expense,水果店买切果盒花了28元,28,CNY,水果,anchor,2026-08-31,2026-08-31
food_dining-zh-025,zh,food_dining,餐饮美食,Food and Dining,expense,公司楼下买便当盒饭花了25块,25,CNY,盒饭,anchor,2026-08-31,2026-08-31
food_dining-zh-026,zh,food_dining,餐饮美食,Food and Dining,expense,本周三外卖点了份意式披萨花了68元,68,CNY,披萨,weekday:3,2026-09-02,2026-08-31
food_dining-zh-027,zh,food_dining,餐饮美食,Food and Dining,expense,半夜饿了点串串香夜宵花了55块,55,CNY,夜宵,anchor,2026-08-31,2026-08-31
food_dining-zh-028,zh,food_dining,餐饮美食,Food and Dining,expense,粤式早茶点虾饺烧卖花了138元,138,CNY,早茶,anchor,2026-08-31,2026-08-31
food_dining-zh-029,zh,food_dining,餐饮美食,Food and Dining,expense,同事聚餐吃日式定食花了72块,72,CNY,定食,anchor,2026-08-31,2026-08-31
food_dining-zh-030,zh,food_dining,餐饮美食,Food and Dining,expense,好利来买半熟芝士蛋糕花了49元,49,CNY,甜品,anchor,2026-08-31,2026-08-31
food_dining-zh-031,zh,food_dining,餐饮美食,Food and Dining,expense,肯德基买全家桶花了99块,99,CNY,快餐,anchor,2026-08-31,2026-08-31
food_dining-zh-032,zh,food_dining,餐饮美食,Food and Dining,expense,8月20日居酒屋吃日料小酌花了280HKD,280,HKD,日料,ymd:2026-08-20,2026-08-20,2026-08-31
food_dining-zh-033,zh,food_dining,餐饮美食,Food and Dining,expense,丘大叔买鸭屎香柠檬茶花了18元,18,CNY,饮品,anchor,2026-08-31,2026-08-31
food_dining-zh-034,zh,food_dining,餐饮美食,Food and Dining,expense,上周每天早餐店肠粉加粥花了12块,12,CNY,早餐,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30,2026-08-31
food_dining-zh-035,zh,food_dining,餐饮美食,Food and Dining,expense,正宗兰州拉面吃大碗面花了20元,20,CNY,面食,anchor,2026-08-31,2026-08-31
food_dining-zh-036,zh,food_dining,餐饮美食,Food and Dining,expense,杨国福吃麻辣烫午餐花了35块,35,CNY,麻辣烫,anchor,2026-08-31,2026-08-31
food_dining-zh-037,zh,food_dining,餐饮美食,Food and Dining,expense,韩式烤肉店聚餐人均花了160元,160,CNY,聚餐,anchor,2026-08-31,2026-08-31
food_dining-zh-038,zh,food_dining,餐饮美食,Food and Dining,expense,夏天买半个西瓜花了28块,28,CNY,水果,anchor,2026-08-31,2026-08-31
food_dining-zh-039,zh,food_dining,餐饮美食,Food and Dining,expense,便利店买关东煮花了18元,18,CNY,便利店,anchor,2026-08-31,2026-08-31
food_dining-zh-040,zh,food_dining,餐饮美食,Food and Dining,expense,咖啡店买燕麦拿铁花了32块,32,CNY,咖啡,anchor,2026-08-31,2026-08-31
food_dining-zh-041,zh,food_dining,餐饮美食,Food and Dining,expense,粥铺点皮蛋瘦肉粥加油条花了15元,15,CNY,早餐,anchor,2026-08-31,2026-08-31
food_dining-zh-042,zh,food_dining,餐饮美食,Food and Dining,expense,汉堡王吃皇堡套餐花了41块,41,CNY,快餐,anchor,2026-08-31,2026-08-31
food_dining-zh-043,zh,food_dining,餐饮美食,Food and Dining,expense,泰式餐厅吃冬阴功汤饭花了68元,68,CNY,泰餐,anchor,2026-08-31,2026-08-31
food_dining-zh-044,zh,food_dining,餐饮美食,Food and Dining,expense,甜品店买双皮奶和姜撞奶花了30块,30,CNY,甜品,anchor,2026-08-31,2026-08-31
food_dining-zh-045,zh,food_dining,餐饮美食,Food and Dining,expense,下午茶点了蛋糕卷花了18元,18,CNY,下午茶,anchor,2026-08-31,2026-08-31
food_dining-zh-046,zh,food_dining,餐饮美食,Food and Dining,expense,外卖点麻辣小龙虾花了188块,188,CNY,小龙虾,anchor,2026-08-31,2026-08-31
food_dining-zh-047,zh,food_dining,餐饮美食,Food and Dining,expense,茶餐厅冻柠茶走冰花了24HKD,24,HKD,饮品,anchor,2026-08-31,2026-08-31
food_dining-zh-048,zh,food_dining,餐饮美食,Food and Dining,expense,大前天包子铺买一笼小笼包花了16元,16,CNY,早餐,rel:-3,2026-08-28,2026-08-31
food_dining-zh-049,zh,food_dining,餐饮美食,Food and Dining,expense,西餐厅吃牛排套餐花了268块,268,CNY,西餐,anchor,2026-08-31,2026-08-31
food_dining-zh-050,zh,food_dining,餐饮美食,Food and Dining,expense,自助餐厅吃午餐花了128元,128,CNY,自助餐,anchor,2026-08-31,2026-08-31
transport-zh-001,zh,transport,交通出行,Transport,expense,今天坐地铁上下班花了8HKD,8,HKD,地铁,rel:0,2026-08-31,2026-08-31
transport-zh-002,zh,transport,交通出行,Transport,expense,昨天打车去公司付了45块钱,45,CNY,打车,rel:-1,2026-08-30,2026-08-31
transport-zh-003,zh,transport,交通出行,Transport,expense,给车加92号油花了300元,300,CNY,加油,anchor,2026-08-31,2026-08-31
transport-zh-004,zh,transport,交通出行,Transport,expense,公交卡充值100元,100,CNY,公交卡,anchor,2026-08-31,2026-08-31
transport-zh-005,zh,transport,交通出行,Transport,expense,打滴滴去商圈花了38块,38,CNY,网约车,anchor,2026-08-31,2026-08-31
transport-zh-006,zh,transport,交通出行,Transport,expense,买高铁二等座票花了550元,550,CNY,高铁,anchor,2026-08-31,2026-08-31
transport-zh-007,zh,transport,交通出行,Transport,expense,小区停车场交停车费20HKD,20,HKD,停车,anchor,2026-08-31,2026-08-31
transport-zh-008,zh,transport,交通出行,Transport,expense,这一周每天骑共享单车通勤花了3块钱,3,CNY,共享单车,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
transport-zh-009,zh,transport,交通出行,Transport,expense,机场大巴车票花了25元,25,CNY,机场大巴,anchor,2026-08-31,2026-08-31
transport-zh-010,zh,transport,交通出行,Transport,expense,高速过路费花了120块,120,CNY,过路费,anchor,2026-08-31,2026-08-31
transport-zh-011,zh,transport,交通出行,Transport,expense,今天明天坐公交去市区都花2元,2,CNY,公交,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
transport-zh-012,zh,transport,交通出行,Transport,expense,网约车去机场花了120块,120,CNY,网约车,anchor,2026-08-31,2026-08-31
transport-zh-013,zh,transport,交通出行,Transport,expense,电动车充电花了15元,15,CNY,充电,anchor,2026-08-31,2026-08-31
transport-zh-014,zh,transport,交通出行,Transport,expense,买动车票花了180块,180,CNY,动车,anchor,2026-08-31,2026-08-31
transport-zh-015,zh,transport,交通出行,Transport,expense,出租车打表花了56元,56,CNY,出租车,anchor,2026-08-31,2026-08-31
transport-zh-016,zh,transport,交通出行,Transport,expense,摩托车加油花了80块,80,CNY,加油,anchor,2026-08-31,2026-08-31
transport-zh-017,zh,transport,交通出行,Transport,expense,坐轮渡去对岸花了15HKD,15,HKD,轮渡,anchor,2026-08-31,2026-08-31
transport-zh-018,zh,transport,交通出行,Transport,expense,代驾回家花了80元,80,CNY,代驾,anchor,2026-08-31,2026-08-31
transport-zh-019,zh,transport,交通出行,Transport,expense,租车一天花了300块,300,CNY,租车,anchor,2026-08-31,2026-08-31
transport-zh-020,zh,transport,交通出行,Transport,expense,地铁月卡充值200元,200,CNY,地铁卡,anchor,2026-08-31,2026-08-31
transport-zh-021,zh,transport,交通出行,Transport,expense,顺风车去邻市花了120块,120,CNY,顺风车,anchor,2026-08-31,2026-08-31
transport-zh-022,zh,transport,交通出行,Transport,expense,买飞机票经济舱花了1200元,1200,CNY,机票,anchor,2026-08-31,2026-08-31
transport-zh-023,zh,transport,交通出行,Transport,expense,停车场包月费300元,300,CNY,停车月费,anchor,2026-08-31,2026-08-31
transport-zh-024,zh,transport,交通出行,Transport,expense,坐大巴回老家花了150块,150,CNY,大巴,anchor,2026-08-31,2026-08-31
transport-zh-025,zh,transport,交通出行,Transport,expense,今天到后天骑共享电动车都花5元,5,CNY,共享电动车,span:0:2,2026-08-31|2026-09-01|2026-09-02,2026-08-31
transport-zh-026,zh,transport,交通出行,Transport,expense,本周五滴滴打快车花了28块,28,CNY,网约车,weekday:5,2026-09-04,2026-08-31
transport-zh-027,zh,transport,交通出行,Transport,expense,给车做保养花了500元,500,CNY,保养,anchor,2026-08-31,2026-08-31
transport-zh-028,zh,transport,交通出行,Transport,expense,买船票去海岛玩花了180块,180,CNY,船票,anchor,2026-08-31,2026-08-31
transport-zh-029,zh,transport,交通出行,Transport,expense,公交转地铁一共花了6元,6,CNY,公交换乘,anchor,2026-08-31,2026-08-31
transport-zh-030,zh,transport,交通出行,Transport,expense,8月15日打车去高铁站花了60块,60,CNY,打车,ymd:2026-08-15,2026-08-15,2026-08-31
transport-zh-031,zh,transport,交通出行,Transport,expense,ETC扣费85元,85,CNY,ETC,anchor,2026-08-31,2026-08-31
transport-zh-032,zh,transport,交通出行,Transport,expense,坐轻轨去郊区花了20块,20,CNY,轻轨,anchor,2026-08-31,2026-08-31
transport-zh-033,zh,transport,交通出行,Transport,expense,网约车拼车花了18元,18,CNY,拼车,anchor,2026-08-31,2026-08-31
transport-zh-034,zh,transport,交通出行,Transport,expense,自行车补胎花了15块,15,CNY,修车,anchor,2026-08-31,2026-08-31
transport-zh-035,zh,transport,交通出行,Transport,expense,买火车票卧铺花了320元,320,CNY,火车票,anchor,2026-08-31,2026-08-31
transport-zh-036,zh,transport,交通出行,Transport,expense,小区停车费一天10元,10,CNY,停车,anchor,2026-08-31,2026-08-31
transport-zh-037,zh,transport,交通出行,Transport,expense,坐叮叮车花了3HKD,3,HKD,叮叮车,anchor,2026-08-31,2026-08-31
transport-zh-038,zh,transport,交通出行,Transport,expense,打车去医院花了35块,35,CNY,打车,anchor,2026-08-31,2026-08-31
transport-zh-039,zh,transport,交通出行,Transport,expense,汽车年检花了280元,280,CNY,年检,anchor,2026-08-31,2026-08-31
transport-zh-040,zh,transport,交通出行,Transport,expense,坐长途客车花了220块,220,CNY,长途车,anchor,2026-08-31,2026-08-31
transport-zh-041,zh,transport,交通出行,Transport,expense,共享汽车用了两小时花了60元,60,CNY,共享汽车,anchor,2026-08-31,2026-08-31
transport-zh-042,zh,transport,交通出行,Transport,expense,上周每天地铁通勤刷了50元,50,CNY,地铁充值,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30,2026-08-31
transport-zh-043,zh,transport,交通出行,Transport,expense,打车去酒吧花了45块,45,CNY,打车,anchor,2026-08-31,2026-08-31
transport-zh-044,zh,transport,交通出行,Transport,expense,给车换轮胎花了800元,800,CNY,换轮胎,anchor,2026-08-31,2026-08-31
transport-zh-045,zh,transport,交通出行,Transport,expense,坐港铁去尖沙咀花了22HKD,22,HKD,港铁,anchor,2026-08-31,2026-08-31
transport-zh-046,zh,transport,交通出行,Transport,expense,顺风车拼单花了25元,25,CNY,拼车,anchor,2026-08-31,2026-08-31
transport-zh-047,zh,transport,交通出行,Transport,expense,过收费站交了50块,50,CNY,过路费,anchor,2026-08-31,2026-08-31
transport-zh-048,zh,transport,交通出行,Transport,expense,买机票燃油附加费150元,150,CNY,机票附加,anchor,2026-08-31,2026-08-31
transport-zh-049,zh,transport,交通出行,Transport,expense,电动车上牌花了100块,100,CNY,上牌,anchor,2026-08-31,2026-08-31
transport-zh-050,zh,transport,交通出行,Transport,expense,坐巴士去深圳湾花了45HKD,45,HKD,巴士,anchor,2026-08-31,2026-08-31
groceries-zh-001,zh,groceries,商超购物,Groceries,expense,昨天永辉超市买菜花了90元,90,CNY,超市买菜,rel:-1,2026-08-30,2026-08-31
groceries-zh-002,zh,groceries,商超购物,Groceries,expense,便利店囤零食花了75块,75,CNY,囤零食,anchor,2026-08-31,2026-08-31
groceries-zh-003,zh,groceries,商超购物,Groceries,expense,逛百货商场买东西花了500HKD,500,HKD,商场购物,anchor,2026-08-31,2026-08-31
groceries-zh-004,zh,groceries,商超购物,Groceries,expense,进口超市买牛排花了220元,220,CNY,进口超市,anchor,2026-08-31,2026-08-31
groceries-zh-005,zh,groceries,商超购物,Groceries,expense,楼下超市买烟花了45块,45,CNY,买烟,anchor,2026-08-31,2026-08-31
groceries-zh-006,zh,groceries,商超购物,Groceries,expense,本周六山姆会员店囤货花了680元,680,CNY,会员店,weekday:6,2026-09-05,2026-08-31
groceries-zh-007,zh,groceries,商超购物,Groceries,expense,超市买洗衣液花了69块,69,CNY,日化,anchor,2026-08-31,2026-08-31
groceries-zh-008,zh,groceries,商超购物,Groceries,expense,8月18日海外超市买伴手礼花了120USD,120,USD,伴手礼,ymd:2026-08-18,2026-08-18,2026-08-31
groceries-zh-009,zh,groceries,商超购物,Groceries,expense,菜市场买食材花了150块,150,CNY,菜市场,anchor,2026-08-31,2026-08-31
groceries-zh-010,zh,groceries,商超购物,Groceries,expense,沃尔玛买日用品花了180元,180,CNY,日用品,anchor,2026-08-31,2026-08-31
groceries-zh-011,zh,groceries,商超购物,Groceries,expense,这一周每天711买水和纸巾花了12HKD,12,HKD,便利店,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
groceries-zh-012,zh,groceries,商超购物,Groceries,expense,大润发买米面粮油花了260块,260,CNY,粮油,anchor,2026-08-31,2026-08-31
