分类名称,语言,自然表达,金额,币种,备注,日期规则,展开日期
餐饮美食,zh,今早买包子豆浆当早餐花了8元,8,CNY,早餐,rel:0,2026-08-31
餐饮美食,en,"Grabbed buns and soy milk for breakfast this morning, 8 yuan",8,CNY,Breakfast,rel:0,2026-08-31
餐饮美食,zh,昨天中午点黄焖鸡米饭外卖花了28块,28,CNY,外卖午餐,rel:-1,2026-08-30
餐饮美食,en,"Ordered braised chicken rice takeout for lunch yesterday, 28 bucks",28,CNY,Takeout lunch,rel:-1,2026-08-30
餐饮美食,zh,晚上和朋友吃火锅AA付了180HKD,180,HKD,聚餐AA,anchor,2026-08-31
餐饮美食,en,"Split hot pot with friends, my share was 180 HKD",180,HKD,Group dinner split,anchor,2026-08-31
餐饮美食,zh,下午摸鱼买了杯珍珠奶茶花了22元,22,CNY,奶茶,anchor,2026-08-31
餐饮美食,en,"Bought bubble tea this afternoon, 22 yuan",22,CNY,Milk tea,anchor,2026-08-31
餐饮美食,zh,这一周每天公司楼下买冰美式花了30HKD,30,HKD,咖啡,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
餐饮美食,en,"Iced Americano downstairs every day this week, 30 HKD",30,HKD,Coffee,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
餐饮美食,zh,周末去茶餐厅吃早茶花了128块,128,CNY,早茶,weekday:6,2026-09-05
餐饮美食,en,"Dim sum at a cha chaan teng this Saturday, 128 bucks",128,CNY,Dim sum,weekday:6,2026-09-05
餐饮美食,zh,食堂窗口再打一份红烧肉花了12元,12,CNY,食堂加菜,anchor,2026-08-31
餐饮美食,en,"Extra braised pork at the cafeteria, 12 yuan",12,CNY,Cafeteria extra,anchor,2026-08-31
餐饮美食,zh,夜宵吃烧烤喝啤酒花了150块钱,150,CNY,夜宵,anchor,2026-08-31
餐饮美食,en,"Late-night BBQ and beer, 150 yuan",150,CNY,Late-night snack,anchor,2026-08-31
餐饮美食,zh,买了杯星巴克拿铁花了38HKD,38,HKD,咖啡,anchor,2026-08-31
餐饮美食,en,"Starbucks latte, 38 HKD",38,HKD,Coffee,anchor,2026-08-31
餐饮美食,zh,今天明天食堂午饭都刷15元,15,CNY,食堂,"rel:0,1",2026-08-31|2026-09-01
餐饮美食,en,"Cafeteria lunch today and tomorrow, 15 yuan each",15,CNY,Cafeteria,"rel:0,1",2026-08-31|2026-09-01
餐饮美食,zh,水果店买了一斤草莓花了35块,35,CNY,水果,anchor,2026-08-31
餐饮美食,en,"Bought a pound of strawberries, 35 bucks",35,CNY,Fruit,anchor,2026-08-31
餐饮美食,zh,面包店买吐司和可颂花了42元,42,CNY,面包,anchor,2026-08-31
餐饮美食,en,"Toast and croissants at the bakery, 42 yuan",42,CNY,Bread,anchor,2026-08-31
餐饮美食,zh,麦当劳吃板烧鸡腿堡套餐花了36块,36,CNY,快餐,anchor,2026-08-31
